Gene	numberofposfactors	txids	interpolyAdist
ENSG00000117713.19	5	ENST00000615191.4_ENST00000374152.7_ENST00000457599.6_ENST00000430799.7_ENST00000636219.1,ENST00000324856.12	NA
ENSG00000142751.14	2	ENST00000374133.3_ENST00000374135.8	3243
ENSG00000253368.3	2	ENST00000531285.1_ENST00000522111.2	789
ENSG00000090020.10	2	ENST00000374086.3_ENST00000263980.7	6636
ENSG00000142784.15	2	ENST00000361771.7_ENST00000319394.7	389
ENSG00000186501.14	3	ENST00000464813.5_ENST00000498220.1_ENST00000611517.4,ENST00000374076.8,ENST00000608611.5	NA
ENSG00000142765.17	2	ENST00000616558.4,ENST00000618673.4_ENST00000543823.1,ENST00000318074.9	31
ENSG00000158195.10	2	ENST00000536657.1_ENST00000618852.4	3971
ENSG00000126705.14	4	ENST00000642245.1,ENST00000642416.1_ENST00000374011.6_ENST00000644989.1_ENST00000247087.10	NA
ENSG00000000938.12	2	ENST00000374004.5,ENST00000399173.5_ENST00000374005.7	228
ENSG00000009780.15	5	ENST00000530324.5_ENST00000446647.1_ENST00000419687.6_ENST00000373949.5_ENST00000373954.10	NA
ENSG00000117751.17	2	ENST00000236412.11_ENST00000373931.8,ENST00000311772.9	148
ENSG00000130775.15	2	ENST00000373927.7_ENST00000373921.7,ENST00000456990.1,ENST00000328928.11,ENST00000373925.5	152
ENSG00000117748.9	3	ENST00000313433.11_ENST00000373909.7_ENST00000419958.5,ENST00000373912.7	NA
ENSG00000130768.14	2	ENST00000373888.8_ENST00000549094.1,ENST00000373894.7	2677
ENSG00000158161.15	3	ENST00000373863.3_ENST00000373864.5_ENST00000436342.6,ENST00000540618.5,ENST00000373871.7	NA
ENSG00000169403.11	2	ENST00000305392.3_ENST00000373857.7,ENST00000539896.1	2507
ENSG00000130770.17	2	ENST00000465645.1,ENST00000335514.9,ENST00000497986.5_ENST00000468425.2	8801
ENSG00000204138.12	2	ENST00000373836.4_ENST00000373839.7	3066
ENSG00000180198.15	4	ENST00000373831.7_ENST00000373832.5_ENST00000398958.6_ENST00000373833.10	NA
ENSG00000120656.11	2	ENST00000263974.4_ENST00000373824.8	251
ENSG00000188060.7	2	ENST00000465518.2_ENST00000373826.3	1143
ENSG00000162419.12	2	ENST00000294409.2,ENST00000361872.8_ENST00000373816.5	4467
ENSG00000116329.10	2	ENST00000621425.1_ENST00000234961.6	7984
ENSG00000159023.20	10	ENST00000373797.2_ENST00000645184.1_ENST00000644470.1_ENST00000646189.1,ENST00000643604.1_ENST00000643173.1,ENST00000644600.1,ENST00000644780.1,ENST00000644848.1_ENST00000636666.1_ENST00000644342.1_ENST00000349460.9_ENST00000347529.7,ENST00000373800.7_ENST00000642260.1,ENST00000642937.1,ENST00000647103.1,ENST00000343067.8,ENST00000356093.6,ENST00000373798.5	NA
ENSG00000116353.15	2	ENST00000263702.10_ENST00000373791.7	944
ENSG00000060656.19	2	ENST00000460170.2_ENST00000373779.7,ENST00000428026.6	144
ENSG00000162512.15	2	ENST00000339394.6_ENST00000336798.11	3668
ENSG00000134644.15	4	ENST00000373742.6_ENST00000498419.5,ENST00000440538.6,ENST00000426105.6,ENST00000373741.8_ENST00000525843.5_ENST00000424085.6,ENST00000257075.9,ENST00000373747.7	NA
ENSG00000084628.9	2	ENST00000526106.5_ENST00000373736.6	1844
ENSG00000060688.12	2	ENST00000373720.3_ENST00000263694.8	142
ENSG00000121766.15	2	ENST00000627541.1_ENST00000344147.9,ENST00000373714.5,ENST00000546109.5,ENST00000615916.4,ENST00000616393.4,ENST00000616859.4,ENST00000618216.4	401
ENSG00000121764.11	3	ENST00000373706.9_ENST00000403528.6_ENST00000373705.1	NA
ENSG00000084636.17	2	ENST00000373668.7_ENST00000373672.7	26983
ENSG00000121753.12	3	ENST00000398538.5_ENST00000527361.5_ENST00000398556.7,ENST00000398547.5,ENST00000373655.6,ENST00000373658.7,ENST00000398542.5	NA
ENSG00000134668.12	2	ENST00000452755.6,ENST00000533231.5_ENST00000257100.7,ENST00000360482.6	59
ENSG00000184007.19	4	ENST00000470404.5_ENST00000602683.5_ENST00000457805.6_ENST00000602725.5,ENST00000647444.1	NA
ENSG00000225828.1	2	ENST00000428500.1_ENST00000432622.1	28
ENSG00000160058.18	4	ENST00000446293.6_ENST00000419121.6,ENST00000526031.5_ENST00000341071.11_ENST00000455895.6	NA
ENSG00000160062.14	2	ENST00000316459.4_ENST00000373510.8	4949
ENSG00000176261.15	4	ENST00000373506.7_ENST00000492007.5_ENST00000468695.5_ENST00000341885.5	NA
ENSG00000162521.18	4	ENST00000463378.5_ENST00000458695.6,ENST00000414241.7_ENST00000373485.5_ENST00000373493.9	NA
ENSG00000162520.14	2	ENST00000373484.4_ENST00000409190.7	1131
ENSG00000162522.10	2	ENST00000294521.7_ENST00000373480.1,ENST00000373481.7,ENST00000401073.6	1773
ENSG00000116497.17	2	ENST00000373476.5_ENST00000373475.9	1025
ENSG00000160097.16	2	ENST00000496770.1_ENST00000373471.7	2181
ENSG00000116514.16	2	ENST00000235150.4_ENST00000356990.9,ENST00000373456.11	223
ENSG00000004455.16	5	ENST00000487289.1_ENST00000480134.5,ENST00000354858.10_ENST00000548033.5_ENST00000373449.6_ENST00000629371.2	NA
ENSG00000142920.16	3	ENST00000373441.1_ENST00000294517.10_ENST00000373443.7	NA
ENSG00000116525.13	2	ENST00000543586.1_ENST00000291416.9	1300
ENSG00000121903.14	2	ENST00000373413.2_ENST00000361328.7	3871
ENSG00000121904.17	4	ENST00000338325.1_ENST00000373377.1_ENST00000373380.5_ENST00000373381.8,ENST00000373388.6,ENST00000619121.4	NA
ENSG00000163866.8	5	ENST00000417239.1_ENST00000423898.1_ENST00000456842.1_ENST00000446026.1_ENST00000521580.2	NA
ENSG00000163867.16	3	ENST00000373333.1_ENST00000317538.9_ENST00000357182.8	NA
ENSG00000146463.11	2	ENST00000314607.10_ENST00000457946.1	114
ENSG00000142687.17	2	ENST00000373266.8_ENST00000325722.7	615
ENSG00000020129.15	2	ENST00000373253.7,ENST00000373243.6,ENST00000356090.8_ENST00000423723.1	495
ENSG00000126067.11	2	ENST00000373237.3_ENST00000621781.4	2040
ENSG00000092853.13	2	ENST00000318121.7,ENST00000373220.7,ENST00000520551.1_ENST00000251195.9	16187
ENSG00000092847.11	2	ENST00000373206.5_ENST00000373204.5	9570
ENSG00000126070.19	3	ENST00000324350.9_ENST00000246314.10_ENST00000373191.8	NA
ENSG00000171812.12	2	ENST00000481785.1_ENST00000303143.9,ENST00000397799.1	2271
ENSG00000054116.11	4	ENST00000373159.1_ENST00000373162.5_ENST00000373163.5_ENST00000373166.7,ENST00000616074.4,ENST00000616395.4,ENST00000617904.4	NA
ENSG00000054118.13	2	ENST00000469141.6_ENST00000354618.9	1209
ENSG00000116885.18	5	ENST00000354267.3_ENST00000445843.7_ENST00000433045.6_ENST00000356637.9,ENST00000235532.9_ENST00000468441.5	NA
ENSG00000119535.17	2	ENST00000464465.6,ENST00000331941.6_ENST00000361632.8,ENST00000373103.5,ENST00000373104.5,ENST00000373106.5	53
ENSG00000163873.9	2	ENST00000373093.4_ENST00000373091.7	9091
ENSG00000163875.15	4	ENST00000373073.8_ENST00000373074.5_ENST00000296214.9_ENST00000373075.6	NA
ENSG00000169218.13	3	ENST00000401068.1_ENST00000356545.6_ENST00000612451.4,ENST00000615459.4	NA
ENSG00000183317.16	3	ENST00000319637.6_ENST00000373048.8_ENST00000427468.6	NA
ENSG00000185090.14	3	ENST00000532512.1_ENST00000525897.1_ENST00000373045.10,ENST00000397631.7,ENST00000329006.5	NA
ENSG00000204084.12	3	ENST00000373021.1_ENST00000373026.5,ENST00000373024.7_ENST00000373027.5,ENST00000458109.6,ENST00000373023.6	NA
